kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-12-11 20:15:00-05:00,Atlanta Falcons,Tampa Bay Buccaneers,4.5,-112,-4.5,-108,44.5,-105,-115,195,-238,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,Arizona Cardinals,Houston Texans,9.5,-105,-9.5,-115,42.5,-105,-115,425,-575,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,Baltimore Ravens,Cincinnati Bengals,-2.5,-105,2.5,-115,52.5,-110,-110,-135,114,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,Buffalo Bills,New England Patriots,-1.5,-102,1.5,-118,50.5,-110,-110,-118,-102,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,Cleveland Browns,Chicago Bears,7.5,-108,-7.5,-112,38.5,-115,-105,330,-425,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,New York Jets,Jacksonville Jaguars,13.5,-115,-13.5,-105,41.5,-110,-110,600,-900,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,Los Angeles Chargers,Kansas City Chiefs,5.5,-108,-5.5,-112,41.5,-110,-110,190,-230,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,Las Vegas Raiders,Philadelphia Eagles,11.5,-110,-11.5,-110,38.5,-108,-112,490,-675,DraftKings,DraftKings,DraftKings
2025-12-14 13:00:00-05:00,Washington Commanders,New York Giants,2.5,-105,-2.5,-115,47.5,-105,-115,120,-142,DraftKings,DraftKings,DraftKings
2025-12-14 16:25:00-05:00,Carolina Panthers,New Orleans Saints,-2.5,-115,2.5,-105,40.5,-110,-110,-142,120,DraftKings,DraftKings,DraftKings
2025-12-14 16:25:00-05:00,Green Bay Packers,Denver Broncos,-2.5,-110,2.5,-110,42.5,-115,-105,-135,114,DraftKings,DraftKings,DraftKings
2025-12-14 16:25:00-05:00,Detroit Lions,Los Angeles Rams,5.5,-108,-5.5,-112,55.5,-105,-115,205,-250,DraftKings,DraftKings,DraftKings
2025-12-14 16:25:00-05:00,Indianapolis Colts,Seattle Seahawks,13.5,-105,-13.5,-115,42.5,-108,-112,675,-1050,DraftKings,DraftKings,DraftKings
2025-12-14 16:25:00-05:00,Tennessee Titans,San Francisco 49ers,12.5,-105,-12.5,-115,44.5,-110,-110,625,-950,DraftKings,DraftKings,DraftKings
2025-12-14 20:20:00-05:00,Minnesota Vikings,Dallas Cowboys,5.5,-110,-5.5,-110,47.5,-112,-108,220,-270,DraftKings,DraftKings,DraftKings
2025-12-15 20:15:00-05:00,Miami Dolphins,Pittsburgh Steelers,3.0,100,-3.0,-120,42.5,-110,-110,145,-175,DraftKings,DraftKings,DraftKings
