user,team,opponent,result,game_date
nathan,Cleveland Browns,Green Bay Packers,W,2025-09-21
nathan,New Orleans Saints,Seattle Seahawks,L,2025-09-21
nathan,Carolina Panthers,Atlanta Falcons,W,2025-09-21
shane,Las Vegas Raiders,Washington Commanders,L,2025-09-21
shane,Los Angeles Chargers,Denver Broncos,W,2025-09-21
shane,Dallas Cowboys,Chicago Bears,L,2025-09-21
max,Atlanta Falcons,Carolina Panthers,L,2025-09-21
max,Green Bay Packers,Cleveland Browns,L,2025-09-21
max,Detroit Lions,Baltimore Ravens,W,2025-09-22
john,Atlanta Falcons,Carolina Panthers,L,2025-09-21
john,Kansas City Chiefs,New York Giants,W,2025-09-21
john,Dallas Cowboys,Chicago Bears,L,2025-09-21
connor,Cincinnati Bengals,Minnesota Vikings,L,2025-09-21
connor,San Francisco 49ers,Arizona Cardinals,L,2025-09-21
connor,New York Jets,Tampa Bay Buccaneers,W,2025-09-21
cam,Dallas Cowboys,Chicago Bears,L,2025-09-21
cam,Arizona Cardinals,San Francisco 49ers,W,2025-09-21
cam,Los Angeles Chargers,Denver Broncos,W,2025-09-21
jacob,Denver Broncos,Los Angeles Chargers,L,2025-09-21
jacob,Houston Texans,Jacksonville Jaguars,L,2025-09-21
jacob,Dallas Cowboys,Chicago Bears,L,2025-09-21
