user,team,opponent,result,game_date
max,Los Angeles Rams,Arizona Cardinals,W,2026-01-04
max,Detroit Lions,Chicago Bears,W,2026-01-04
max,Philadelphia Eagles,Washington Commanders,L,2026-01-04
nathan,Pittsburgh Steelers,Baltimore Ravens,W,2026-01-04
nathan,Detroit Lions,Chicago Bears,W,2026-01-04
nathan,Carolina Panthers,Tampa Bay Buccaneers,W,2026-01-03
connor,Seattle Seahawks,San Francisco 49ers,W,2026-01-03
connor,Cincinnati Bengals,Cleveland Browns,L,2026-01-04
connor,Pittsburgh Steelers,Baltimore Ravens,W,2026-01-04
jacob,Philadelphia Eagles,Washington Commanders,L,2026-01-04
jacob,Cincinnati Bengals,Cleveland Browns,L,2026-01-04
jacob,Atlanta Falcons,New Orleans Saints,L,2026-01-04
john,Buffalo Bills,New York Jets,W,2026-01-04
john,Los Angeles Rams,Arizona Cardinals,W,2026-01-04
john,Pittsburgh Steelers,Baltimore Ravens,W,2026-01-04
shane,Carolina Panthers,Tampa Bay Buccaneers,W,2026-01-03
shane,Seattle Seahawks,San Francisco 49ers,W,2026-01-03
shane,Atlanta Falcons,New Orleans Saints,L,2026-01-04
cam,Dallas Cowboys,New York Giants,L,2026-01-04
cam,Los Angeles Rams,Arizona Cardinals,W,2026-01-04
cam,Green Bay Packers,Minnesota Vikings,L,2026-01-04
