user,team,opponent,result,game_date
max,Seattle Seahawks,Houston Texans,W,2025-10-20
connor,Seattle Seahawks,Houston Texans,W,2025-10-20
shane,Seattle Seahawks,Houston Texans,W,2025-10-20
cam,San Francisco 49ers,Atlanta Falcons,W,2025-10-19
cam,Seattle Seahawks,Houston Texans,W,2025-10-20
