user,team,opponent,result,game_date
nathan,Carolina Panthers,Tampa Bay Buccaneers,W,2025-12-21
nathan,Green Bay Packers,Chicago Bears,L,2025-12-20
nathan,Denver Broncos,Jacksonville Jaguars,L,2025-12-21
connor,Chicago Bears,Green Bay Packers,W,2025-12-20
connor,Cincinnati Bengals,Miami Dolphins,W,2025-12-21
connor,San Francisco 49ers,Indianapolis Colts,W,2025-12-22
cam,Green Bay Packers,Chicago Bears,L,2025-12-20
cam,Denver Broncos,Jacksonville Jaguars,L,2025-12-21
cam,San Francisco 49ers,Indianapolis Colts,W,2025-12-22
john,New Orleans Saints,New York Jets,W,2025-12-21
john,New England Patriots,Baltimore Ravens,W,2025-12-21
john,San Francisco 49ers,Indianapolis Colts,W,2025-12-22
jacob,San Francisco 49ers,Indianapolis Colts,W,2025-12-22
jacob,Cincinnati Bengals,Miami Dolphins,W,2025-12-21
jacob,New York Giants,Minnesota Vikings,P,2025-12-21
shane,Cincinnati Bengals,Miami Dolphins,W,2025-12-21
shane,Green Bay Packers,Chicago Bears,L,2025-12-20
shane,Denver Broncos,Jacksonville Jaguars,L,2025-12-21
max,Buffalo Bills,Cleveland Browns,L,2025-12-21
max,Cincinnati Bengals,Miami Dolphins,W,2025-12-21
max,Las Vegas Raiders,Houston Texans,W,2025-12-21
