user,team,opponent,result,game_date
john,Buffalo Bills,Atlanta Falcons,L,2025-10-13
john,Pittsburgh Steelers,Cleveland Browns,W,2025-10-12
john,Tampa Bay Buccaneers,San Francisco 49ers,W,2025-10-12
connor,Jacksonville Jaguars,Seattle Seahawks,L,2025-10-12
connor,New England Patriots,New Orleans Saints,W,2025-10-12
connor,Chicago Bears,Washington Commanders,W,2025-10-13
shane,New England Patriots,New Orleans Saints,W,2025-10-12
shane,Detroit Lions,Kansas City Chiefs,L,2025-10-12
shane,Chicago Bears,Washington Commanders,W,2025-10-13
jacob,Indianapolis Colts,Arizona Cardinals,L,2025-10-12
jacob,Tampa Bay Buccaneers,San Francisco 49ers,W,2025-10-12
jacob,Kansas City Chiefs,Detroit Lions,W,2025-10-12
nathan,Indianapolis Colts,Arizona Cardinals,L,2025-10-12
nathan,San Francisco 49ers,Tampa Bay Buccaneers,L,2025-10-12
nathan,New Orleans Saints,New England Patriots,L,2025-10-12
max,Detroit Lions,Kansas City Chiefs,L,2025-10-12
max,Las Vegas Raiders,Tennessee Titans,W,2025-10-12
max,Pittsburgh Steelers,Cleveland Browns,W,2025-10-12
cam,Detroit Lions,Kansas City Chiefs,L,2025-10-12
cam,Washington Commanders,Chicago Bears,L,2025-10-13
cam,Buffalo Bills,Atlanta Falcons,L,2025-10-13
