user,team,game_date
nathan,Carolina Panthers,2024-09-16
nathan,Green Bay Packers,2024-09-16
nathan,Denver Broncos,2024-09-16
connor,Chicago Bears,2024-09-16
connor,Cincinnati Bengals,2024-09-16
connor,San Francisco 49ers,2024-09-16
cam,Green Bay Packers,2024-09-16
cam,Denver Broncos,2024-09-16
cam,San Francisco 49ers,2024-09-16
john,New Orleans Saints,2024-09-16
john,New England Patriots,2024-09-16
john,San Francisco 49ers,2024-09-16
jacob,San Francisco 49ers,2024-09-16
jacob,Cincinnati Bengals,2024-09-16
jacob,New York Giants,2024-09-16
shane,Cincinnati Bengals,2024-09-16
shane,Green Bay Packers,2024-09-16
shane,Denver Broncos,2024-09-16
max,Buffalo Bills,2024-09-16
max,Cincinnati Bengals,2024-09-16
max,Las Vegas Raiders,2024-09-16
