user,team,game_date
nathan,Detroit Lions,2024-09-13
nathan,Minnesota Vikings,2024-09-13
nathan,San Francisco 49ers,2024-09-13
max,Baltimore Ravens,2024-09-13
max,Tampa Bay Buccaneers,2024-09-13
max,Los Angeles Rams,2024-09-13
connor,Tampa Bay Buccaneers,2024-09-13
connor,San Francisco 49ers,2024-09-13
connor,Seattle Seahawks,2024-09-13
jacob,Seattle Seahawks,2024-09-13
jacob,New York Giants,2024-09-13
jacob,New York Jets,2024-09-13
shane,Denver Broncos,2024-09-13
shane,Cleveland Browns,2024-09-13
shane,Pittsburgh Steelers,2024-09-13
john,Arizona Cardinals,2024-09-13
john,Pittsburgh Steelers,2024-09-13
john,Los Angeles Chargers,2024-09-13
cam,Buffalo Bills,2024-09-13
cam,Denver Broncos,2024-09-13
cam,New York Giants,2024-09-13
