user,team,game_date
nathan,Cincinnati Bengals,2024-09-11
nathan,Denver Broncos,2024-09-11
nathan,Philadelphia Eagles,2024-09-11
john,Baltimore Ravens,2024-09-11
john,Detroit Lions,2024-09-11
john,Dallas Cowboys,2024-09-11
max,Buffalo Bills,2024-09-11
max,Seattle Seahawks,2024-09-11
max,San Francisco 49ers,2024-09-11
jacob,Houston Texans,2024-09-11
jacob,Carolina Panthers,2024-09-11
jacob,Baltimore Ravens,2024-09-11
connor,Los Angeles Rams,2024-09-11
connor,San Francisco 49ers,2024-09-11
connor,Tennessee Titans,2024-09-11
shane,San Francisco 49ers,2024-09-11
shane,Dallas Cowboys,2024-09-11
shane,Kansas City Chiefs,2024-09-11
cam,San Francisco 49ers,2024-09-11
cam,Los Angeles Rams,2024-09-11
cam,Cincinnati Bengals,2024-09-11
