user,team,game_date
cam,Dallas Cowboys,2024-09-09
cam,Denver Broncos,2024-09-09
cam,Chicago Bears,2024-09-09
jacob,Houston Texans,2024-09-09
jacob,Detroit Lions,2024-09-09
jacob,Kansas City Chiefs,2024-09-09
nathan,Detroit Lions,2024-09-09
nathan,Kansas City Chiefs,2024-09-09
nathan,New York Giants,2024-09-09
shane,Dallas Cowboys,2024-09-09
shane,San Francisco 49ers,2024-09-09
shane,Denver Broncos,2024-09-09
john,Denver Broncos,2024-09-09
john,Indianapolis Colts,2024-09-09
john,Buffalo Bills,2024-09-09
connor,Chicago Bears,2024-09-09
connor,Houston Texans,2024-09-09
connor,Dallas Cowboys,2024-09-09
max,San Francisco 49ers,2024-09-09
max,Los Angeles Chargers,2024-09-09
max,Dallas Cowboys,2024-09-09
