user,team,game_date
nathan,Cleveland Browns,2024-09-03
nathan,New Orleans Saints,2024-09-03
nathan,Carolina Panthers,2024-09-03
shane,Las Vegas Raiders,2024-09-03
shane,Los Angeles Chargers,2024-09-03
shane,Dallas Cowboys,2024-09-03
max,Atlanta Falcons,2024-09-03
max,Green Bay Packers,2024-09-03
max,Detroit Lions,2024-09-03
john,Atlanta Falcons,2024-09-03
john,Kansas City Chiefs,2024-09-03
john,Dallas Cowboys,2024-09-03
connor,Cincinnati Bengals,2024-09-03
connor,San Francisco 49ers,2024-09-03
connor,New York Jets,2024-09-03
cam,Dallas Cowboys,2024-09-03
cam,Arizona Cardinals,2024-09-03
cam,Los Angeles Chargers,2024-09-03
jacob,Denver Broncos,2024-09-03
jacob,Houston Texans,2024-09-03
jacob,Dallas Cowboys,2024-09-03
