user,team,game_date
jacob,New York Jets,2024-09-14
jacob,Los Angeles Rams,2024-09-14
jacob,Philadelphia Eagles,2024-09-14
max,Indianapolis Colts,2024-09-14
max,Tampa Bay Buccaneers,2024-09-14
max,Denver Broncos,2024-09-14
shane,Seattle Seahawks,2024-09-14
shane,Washington Commanders,2024-09-14
shane,Houston Texans,2024-09-14
nathan,Chicago Bears,2024-09-14
nathan,Pittsburgh Steelers,2024-09-14
nathan,Tennessee Titans,2024-09-14
john,Indianapolis Colts,2024-09-14
john,Chicago Bears,2024-09-14
john,Houston Texans,2024-09-14
connor,Dallas Cowboys,2024-09-14
connor,Indianapolis Colts,2024-09-14
connor,Minnesota Vikings,2024-09-14
cam,Miami Dolphins,2024-09-14
cam,Philadelphia Eagles,2024-09-14
cam,Denver Broncos,2024-09-14
