kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-12-18 20:15:00-05:00,Los Angeles Rams,Seattle Seahawks,37,38,1,-1.5,1.5,-0.5,L,W,42.5,75,Over
2025-12-20 17:03:00-05:00,Philadelphia Eagles,Washington Commanders,29,18,-11,6.5,-6.5,-4.5,L,W,44.5,47,Over
2025-12-20 20:20:19-05:00,Green Bay Packers,Chicago Bears,16,22,6,-1.5,1.5,4.5,W,L,46.5,38,Under
2025-12-21 13:02:19-05:00,New York Jets,New Orleans Saints,6,29,23,-4.5,4.5,18.5,W,L,40.5,35,Under
2025-12-21 13:02:22-05:00,Buffalo Bills,Cleveland Browns,23,20,-3,10.5,-10.5,7.5,W,L,41.5,43,Over
2025-12-21 13:02:33-05:00,Kansas City Chiefs,Tennessee Titans,9,26,17,3.0,-3.0,20.0,W,L,37.5,35,Under
2025-12-21 13:02:42-05:00,Cincinnati Bengals,Miami Dolphins,45,21,-24,4.5,-4.5,-19.5,L,W,47.5,66,Over
2025-12-21 13:02:48-05:00,Los Angeles Chargers,Dallas Cowboys,34,17,-17,-2.5,2.5,-19.5,L,W,49.5,51,Over
2025-12-21 13:02:48-05:00,Minnesota Vikings,New York Giants,16,13,-3,3.0,-3.0,0.0,P,P,43.5,29,Under
2025-12-21 13:02:51-05:00,Tampa Bay Buccaneers,Carolina Panthers,20,23,3,3.0,-3.0,6.0,W,L,45.5,43,Under
2025-12-21 16:05:17-05:00,Jacksonville Jaguars,Denver Broncos,34,20,-14,-3.0,3.0,-17.0,L,W,46.5,54,Over
2025-12-21 16:05:23-05:00,Atlanta Falcons,Arizona Cardinals,26,19,-7,3.0,-3.0,-4.0,L,W,48.5,45,Under
2025-12-21 16:25:39-05:00,Las Vegas Raiders,Houston Texans,21,23,2,-14.5,14.5,-12.5,L,W,37.5,44,Over
2025-12-21 16:25:44-05:00,Pittsburgh Steelers,Detroit Lions,29,24,-5,-7.0,7.0,-12.0,L,W,51.5,53,Over
2025-12-21 20:22:25-05:00,New England Patriots,Baltimore Ravens,28,24,-4,-3.0,3.0,-7.0,L,W,48.5,52,Over
2025-12-22 20:17:07-05:00,San Francisco 49ers,Indianapolis Colts,48,27,-21,6.0,-6.0,-15.0,L,W,46.5,75,Over
