kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2026-01-03 16:31:00-05:00,Carolina Panthers,Tampa Bay Buccaneers,14,16,2,-3.0,3.0,-1.0,L,W,43.5,30,Under
2026-01-03 20:08:19-05:00,Seattle Seahawks,San Francisco 49ers,13,3,-10,2.5,-2.5,-7.5,L,W,47.5,16,Under
2026-01-04 13:02:25-05:00,Tennessee Titans,Jacksonville Jaguars,7,41,34,-13.5,13.5,20.5,W,L,47.5,48,Over
2026-01-04 13:02:31-05:00,Indianapolis Colts,Houston Texans,30,38,8,-10.0,10.0,-2.0,L,W,38.5,68,Over
2026-01-04 13:02:34-05:00,Cleveland Browns,Cincinnati Bengals,20,18,-2,-7.5,7.5,-9.5,L,W,44.5,38,Under
2026-01-04 13:02:38-05:00,Dallas Cowboys,New York Giants,17,34,17,3.5,-3.5,20.5,W,L,49.5,51,Over
2026-01-04 13:02:59-05:00,New Orleans Saints,Atlanta Falcons,17,19,2,-3.5,3.5,-1.5,L,W,44.5,36,Under
2026-01-04 13:03:04-05:00,Green Bay Packers,Minnesota Vikings,3,16,13,-9.5,9.5,3.5,W,L,37.5,19,Under
2026-01-04 16:25:16-05:00,Arizona Cardinals,Los Angeles Rams,20,37,17,-8.5,8.5,8.5,W,L,46.5,57,Over
2026-01-04 16:25:16-05:00,Detroit Lions,Chicago Bears,19,16,-3,-3.0,3.0,-6.0,L,W,50.5,35,Under
2026-01-04 16:25:25-05:00,Washington Commanders,Philadelphia Eagles,24,17,-7,-4.5,4.5,-11.5,L,W,38.5,41,Over
2026-01-04 16:25:26-05:00,Kansas City Chiefs,Las Vegas Raiders,12,14,2,5.5,-5.5,7.5,W,L,36.5,26,Under
2026-01-04 16:25:28-05:00,New York Jets,Buffalo Bills,8,35,27,-7.5,7.5,19.5,W,L,37.5,43,Over
2026-01-04 16:25:35-05:00,Miami Dolphins,New England Patriots,10,38,28,-11.5,11.5,16.5,W,L,45.5,48,Over
2026-01-04 16:25:37-05:00,Los Angeles Chargers,Denver Broncos,3,19,16,-13.5,13.5,2.5,W,L,37.5,22,Under
2026-01-04 20:22:59-05:00,Baltimore Ravens,Pittsburgh Steelers,24,26,2,4.5,-4.5,6.5,W,L,41.5,50,Over
