kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2026-01-25 15:00:00-05:00,New England Patriots,Denver Broncos,10,7,-3,5.5,-5.5,2.5,W,L,42.5,17,Under
2026-01-25 18:30:00-05:00,Los Angeles Rams,Seattle Seahawks,27,31,4,-2.5,2.5,1.5,W,L,47.5,58,Over
