kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-10-12 09:32:26-04:00,Denver Broncos,New York Jets,13,11,-2,7.5,-7.5,5.5,W,L,43.5,24,Under
2025-10-12 13:00:00-04:00,Arizona Cardinals,Indianapolis Colts,27,31,4,-7.5,7.5,-3.5,L,W,46.5,58,Over
2025-10-12 13:01:00-04:00,Dallas Cowboys,Carolina Panthers,27,30,3,3.0,-3.0,6.0,W,L,49.5,57,Over
2025-10-12 13:01:00-04:00,Los Angeles Chargers,Miami Dolphins,29,27,-2,4.5,-4.5,2.5,W,L,44.5,56,Over
2025-10-12 13:02:48-04:00,Seattle Seahawks,Jacksonville Jaguars,20,12,-8,1.5,-1.5,-6.5,L,W,47.5,32,Under
2025-10-12 13:02:50-04:00,New England Patriots,New Orleans Saints,25,19,-6,3.5,-3.5,-2.5,L,W,45.5,44,Under
2025-10-12 13:04:00-04:00,Los Angeles Rams,Baltimore Ravens,17,3,-14,7.5,-7.5,-6.5,L,W,44.5,20,Under
2025-10-12 13:05:00-04:00,Cleveland Browns,Pittsburgh Steelers,9,23,14,-5.5,5.5,8.5,W,L,37.5,32,Under
2025-10-12 16:06:00-04:00,Tennessee Titans,Las Vegas Raiders,10,20,10,-4.5,4.5,5.5,W,L,41.5,30,Under
2025-10-12 16:26:00-04:00,San Francisco 49ers,Tampa Bay Buccaneers,19,30,11,-3.0,3.0,8.0,W,L,47.5,49,Over
2025-10-12 16:28:00-04:00,Cincinnati Bengals,Green Bay Packers,18,27,9,-14.0,14.0,-5.0,L,W,44.5,45,Over
2025-10-12 20:22:43-04:00,Detroit Lions,Kansas City Chiefs,17,30,13,-2.5,2.5,10.5,W,L,52.5,47,Under
2025-10-13 19:15:52-04:00,Buffalo Bills,Atlanta Falcons,14,24,10,4.5,-4.5,14.5,W,L,49.5,38,Under
2025-10-13 20:16:00-04:00,Chicago Bears,Washington Commanders,25,24,-1,-4.5,4.5,-5.5,L,W,49.5,49,Under
