kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-11-13 20:15:00-05:00,New York Jets,New England Patriots,12.5,-108,-12.5,-112,43.5,-105,-115,575,-850,DraftKings,DraftKings,DraftKings
2025-11-16 09:30:00-05:00,Washington Commanders,Miami Dolphins,2.5,-105,-2.5,-115,47.5,-112,-108,124,-148,DraftKings,DraftKings,DraftKings
2025-11-16 13:00:00-05:00,Carolina Panthers,Atlanta Falcons,3.5,-110,-3.5,-110,42.5,-115,-105,160,-192,DraftKings,DraftKings,DraftKings
2025-11-16 13:00:00-05:00,Tampa Bay Buccaneers,Buffalo Bills,5.5,-110,-5.5,-110,47.5,-115,-105,190,-230,DraftKings,DraftKings,DraftKings
2025-11-16 13:00:00-05:00,Chicago Bears,Minnesota Vikings,3.0,-108,-3.0,-112,48.5,-110,-110,140,-166,DraftKings,DraftKings,DraftKings
2025-11-16 13:00:00-05:00,Cincinnati Bengals,Pittsburgh Steelers,5.5,-115,-5.5,-105,49.5,-112,-108,195,-238,DraftKings,DraftKings,DraftKings
2025-11-16 13:00:00-05:00,Green Bay Packers,New York Giants,-7.0,-115,7.0,-105,43.5,-108,-112,-380,300,DraftKings,DraftKings,DraftKings
2025-11-16 13:00:00-05:00,Houston Texans,Tennessee Titans,-7.5,-105,7.5,-115,39.5,-105,-115,-340,270,DraftKings,DraftKings,DraftKings
2025-11-16 13:00:00-05:00,Los Angeles Chargers,Jacksonville Jaguars,-3.0,-102,3.0,-118,43.5,-112,-108,-148,124,DraftKings,DraftKings,DraftKings
2025-11-16 16:05:00-05:00,San Francisco 49ers,Arizona Cardinals,-2.5,-115,2.5,-105,48.5,-108,-112,-148,124,DraftKings,DraftKings,DraftKings
2025-11-16 16:05:00-05:00,Seattle Seahawks,Los Angeles Rams,2.5,100,-2.5,-120,48.5,-108,-112,130,-155,DraftKings,DraftKings,DraftKings
2025-11-16 16:25:00-05:00,Baltimore Ravens,Cleveland Browns,-7.5,-115,7.5,-105,39.5,-112,-108,-425,330,DraftKings,DraftKings,DraftKings
2025-11-16 16:25:00-05:00,Kansas City Chiefs,Denver Broncos,-3.5,-110,3.5,-110,43.5,-115,-105,-205,170,DraftKings,DraftKings,DraftKings
2025-11-16 20:20:00-05:00,Detroit Lions,Philadelphia Eagles,3.0,-118,-3.0,-102,46.5,-112,-108,124,-148,DraftKings,DraftKings,DraftKings
2025-11-17 20:15:00-05:00,Dallas Cowboys,Las Vegas Raiders,-3.5,-105,3.5,-115,50.5,-110,-110,-185,154,DraftKings,DraftKings,DraftKings
