user,team,opponent,result,game_date
nathan,Cincinnati Bengals,Pittsburgh Steelers,L,2025-11-16
nathan,Denver Broncos,Kansas City Chiefs,W,2025-11-16
nathan,Philadelphia Eagles,Detroit Lions,W,2025-11-16
john,Baltimore Ravens,Cleveland Browns,L,2025-11-16
john,Detroit Lions,Philadelphia Eagles,L,2025-11-16
john,Dallas Cowboys,Las Vegas Raiders,W,2025-11-17
max,Buffalo Bills,Tampa Bay Buccaneers,W,2025-11-16
max,Seattle Seahawks,Los Angeles Rams,W,2025-11-16
max,San Francisco 49ers,Arizona Cardinals,W,2025-11-16
jacob,Houston Texans,Tennessee Titans,L,2025-11-16
jacob,Carolina Panthers,Atlanta Falcons,W,2025-11-16
jacob,Baltimore Ravens,Cleveland Browns,L,2025-11-16
connor,Los Angeles Rams,Seattle Seahawks,L,2025-11-16
connor,San Francisco 49ers,Arizona Cardinals,W,2025-11-16
connor,Tennessee Titans,Houston Texans,W,2025-11-16
shane,San Francisco 49ers,Arizona Cardinals,W,2025-11-16
shane,Dallas Cowboys,Las Vegas Raiders,W,2025-11-17
shane,Kansas City Chiefs,Denver Broncos,L,2025-11-16
cam,San Francisco 49ers,Arizona Cardinals,W,2025-11-16
cam,Los Angeles Rams,Seattle Seahawks,L,2025-11-16
cam,Cincinnati Bengals,Pittsburgh Steelers,L,2025-11-16
