user,team,opponent,result,game_date
cam,Dallas Cowboys,Arizona Cardinals,L,2025-11-03
cam,Denver Broncos,Houston Texans,W,2025-11-02
cam,Chicago Bears,Cincinnati Bengals,W,2025-11-02
jacob,Houston Texans,Denver Broncos,L,2025-11-02
jacob,Detroit Lions,Minnesota Vikings,L,2025-11-02
jacob,Kansas City Chiefs,Buffalo Bills,L,2025-11-02
nathan,Detroit Lions,Minnesota Vikings,L,2025-11-02
nathan,Kansas City Chiefs,Buffalo Bills,L,2025-11-02
nathan,New York Giants,San Francisco 49ers,L,2025-11-02
shane,Dallas Cowboys,Arizona Cardinals,L,2025-11-03
shane,San Francisco 49ers,New York Giants,W,2025-11-02
shane,Denver Broncos,Houston Texans,W,2025-11-02
john,Denver Broncos,Houston Texans,W,2025-11-02
john,Indianapolis Colts,Pittsburgh Steelers,L,2025-11-02
john,Buffalo Bills,Kansas City Chiefs,W,2025-11-02
connor,Chicago Bears,Cincinnati Bengals,W,2025-11-02
connor,Houston Texans,Denver Broncos,L,2025-11-02
connor,Dallas Cowboys,Arizona Cardinals,L,2025-11-03
max,San Francisco 49ers,New York Giants,W,2025-11-02
max,Los Angeles Chargers,Tennessee Titans,L,2025-11-02
max,Dallas Cowboys,Arizona Cardinals,L,2025-11-03
