user,team,opponent,result,game_date
jacob,New York Jets,Miami Dolphins,W,2025-12-07
jacob,Los Angeles Rams,Arizona Cardinals,L,2025-12-07
jacob,Philadelphia Eagles,Los Angeles Chargers,L,2025-12-08
max,Indianapolis Colts,Jacksonville Jaguars,L,2025-12-07
max,Tampa Bay Buccaneers,New Orleans Saints,L,2025-12-07
max,Denver Broncos,Las Vegas Raiders,L,2025-12-07
shane,Seattle Seahawks,Atlanta Falcons,W,2025-12-07
shane,Washington Commanders,Minnesota Vikings,L,2025-12-07
shane,Houston Texans,Kansas City Chiefs,W,2025-12-07
nathan,Chicago Bears,Green Bay Packers,L,2025-12-07
nathan,Pittsburgh Steelers,Baltimore Ravens,W,2025-12-07
nathan,Tennessee Titans,Cleveland Browns,W,2025-12-07
john,Indianapolis Colts,Jacksonville Jaguars,L,2025-12-07
john,Chicago Bears,Green Bay Packers,L,2025-12-07
john,Houston Texans,Kansas City Chiefs,W,2025-12-07
connor,Dallas Cowboys,Detroit Lions,L,2025-12-04
connor,Indianapolis Colts,Jacksonville Jaguars,L,2025-12-07
connor,Minnesota Vikings,Washington Commanders,L,2025-12-07
cam,Miami Dolphins,New York Jets,L,2025-12-07
cam,Philadelphia Eagles,Los Angeles Chargers,L,2025-12-08
cam,Denver Broncos,Las Vegas Raiders,L,2025-12-07
