user,team,opponent,result,game_date
nathan,Arizona Cardinals,Seattle Seahawks,L,2025-11-09
nathan,Los Angeles Rams,San Francisco 49ers,W,2025-11-09
nathan,Washington Commanders,Detroit Lions,L,2025-11-09
john,Tampa Bay Buccaneers,New England Patriots,L,2025-11-09
john,Los Angeles Chargers,Pittsburgh Steelers,W,2025-11-09
john,Minnesota Vikings,Baltimore Ravens,L,2025-11-09
jacob,Tampa Bay Buccaneers,New England Patriots,L,2025-11-09
jacob,Detroit Lions,Washington Commanders,W,2025-11-09
jacob,Baltimore Ravens,Minnesota Vikings,W,2025-11-09
cam,Tampa Bay Buccaneers,New England Patriots,L,2025-11-09
cam,Seattle Seahawks,Arizona Cardinals,W,2025-11-09
cam,Detroit Lions,Washington Commanders,W,2025-11-09
shane,New England Patriots,Tampa Bay Buccaneers,W,2025-11-09
shane,Los Angeles Chargers,Pittsburgh Steelers,W,2025-11-09
shane,Philadelphia Eagles,Green Bay Packers,W,2025-11-10
connor,Los Angeles Chargers,Pittsburgh Steelers,W,2025-11-09
connor,Philadelphia Eagles,Green Bay Packers,W,2025-11-10
max,Pittsburgh Steelers,Los Angeles Chargers,L,2025-11-09
max,Philadelphia Eagles,Green Bay Packers,W,2025-11-10
