user,team,game_date
nathan,Los Angeles Rams,2024-09-04
nathan,Baltimore Ravens,2024-09-04
connor,Washington Commanders,2024-09-04
connor,Dallas Cowboys,2024-09-04
connor,Chicago Bears,2024-09-04
jacob,Los Angeles Rams,2024-09-04
jacob,Los Angeles Chargers,2024-09-04
jacob,Las Vegas Raiders,2024-09-04
shane,Atlanta Falcons,2024-09-04
shane,Tampa Bay Buccaneers,2024-09-04
john,Atlanta Falcons,2024-09-04
john,Los Angeles Chargers,2024-09-04
john,Philadelphia Eagles,2024-09-04
cam,Los Angeles Chargers,2024-09-04
cam,Los Angeles Rams,2024-09-04
cam,Atlanta Falcons,2024-09-04
max,Los Angeles Chargers,2024-09-04
max,Tampa Bay Buccaneers,2024-09-04
max,Miami Dolphins,2024-09-04
nathan,Atlanta Falcons,2024-09-04
shane,Chicago Bears,2024-09-04
