user,team,game_date
nathan,Arizona Cardinals,2024-09-10
nathan,Los Angeles Rams,2024-09-10
nathan,Washington Commanders,2024-09-10
john,Tampa Bay Buccaneers,2024-09-10
john,Los Angeles Chargers,2024-09-10
john,Minnesota Vikings,2024-09-10
jacob,Tampa Bay Buccaneers,2024-09-10
jacob,Detroit Lions,2024-09-10
jacob,Baltimore Ravens,2024-09-10
cam,Tampa Bay Buccaneers,2024-09-10
cam,Seattle Seahawks,2024-09-10
cam,Detroit Lions,2024-09-10
shane,New England Patriots,2024-09-10
shane,Los Angeles Chargers,2024-09-10
shane,Philadelphia Eagles,2024-09-10
connor,Los Angeles Chargers,2024-09-10
connor,Philadelphia Eagles,2024-09-10
max,Pittsburgh Steelers,2024-09-10
max,Philadelphia Eagles,2024-09-10
