user,team,game_date
cam,Philadelphia Eagles,2024-09-12
cam,Seattle Seahawks,2024-09-12
cam,Jacksonville Jaguars,2024-09-12
jacob,Buffalo Bills,2024-09-12
jacob,Detroit Lions,2024-09-12
jacob,Dallas Cowboys,2024-09-12
nathan,Detroit Lions,2024-09-12
nathan,Arizona Cardinals,2024-09-12
nathan,Dallas Cowboys,2024-09-12
max,Detroit Lions,2024-09-12
max,Atlanta Falcons,2024-09-12
max,Tampa Bay Buccaneers,2024-09-12
shane,Atlanta Falcons,2024-09-12
shane,Philadelphia Eagles,2024-09-12
shane,Cleveland Browns,2024-09-12
john,Cincinnati Bengals,2024-09-12
john,Dallas Cowboys,2024-09-12
john,Atlanta Falcons,2024-09-12
connor,Chicago Bears,2024-09-12
connor,Jacksonville Jaguars,2024-09-12
connor,New Orleans Saints,2024-09-12
