user,team,game_date
john,Pittsburgh Steelers,2024-09-06
john,Tampa Bay Buccaneers,2024-09-06
connor,Jacksonville Jaguars,2024-09-06
connor,New England Patriots,2024-09-06
connor,Chicago Bears,2024-09-06
shane,New England Patriots,2024-09-06
shane,Detroit Lions,2024-09-06
shane,Chicago Bears,2024-09-06
jacob,Indianapolis Colts,2024-09-06
jacob,Tampa Bay Buccaneers,2024-09-06
jacob,Kansas City Chiefs,2024-09-06
nathan,Indianapolis Colts,2024-09-06
nathan,San Francisco 49ers,2024-09-06
nathan,New Orleans Saints,2024-09-06
max,Detroit Lions,2024-09-06
max,Las Vegas Raiders,2024-09-06
max,Pittsburgh Steelers,2024-09-06
cam,Detroit Lions,2024-09-06
cam,Washington Commanders,2024-09-06
cam,Buffalo Bills,2024-09-06
john,Buffalo Bills,2024-09-06
