user,team,game_date
cam,Buffalo Bills,2024-09-08
cam,San Francisco 49ers,2024-09-08
cam,Tampa Bay Buccaneers,2024-09-08
shane,Tampa Bay Buccaneers,2024-09-08
shane,San Francisco 49ers,2024-09-08
shane,Chicago Bears,2024-09-08
connor,Pittsburgh Steelers,2024-09-08
connor,Denver Broncos,2024-09-08
connor,New York Jets,2024-09-08
nathan,Houston Texans,2024-09-08
nathan,New York Giants,2024-09-08
nathan,Dallas Cowboys,2024-09-08
max,Baltimore Ravens,2024-09-08
max,Pittsburgh Steelers,2024-09-08
max,Tennessee Titans,2024-09-08
jacob,Denver Broncos,2024-09-08
jacob,New York Giants,2024-09-08
jacob,New England Patriots,2024-09-08
john,Pittsburgh Steelers,2024-09-08
john,Dallas Cowboys,2024-09-08
john,Washington Commanders,2024-09-08
