user,team,game_date
max,Los Angeles Rams,2024-09-18
max,Detroit Lions,2024-09-18
max,Philadelphia Eagles,2024-09-18
nathan,Pittsburgh Steelers,2024-09-18
nathan,Detroit Lions,2024-09-18
nathan,Carolina Panthers,2024-09-18
connor,Seattle Seahawks,2024-09-18
connor,Cincinnati Bengals,2024-09-18
connor,Pittsburgh Steelers,2024-09-18
jacob,Philadelphia Eagles,2024-09-18
jacob,Cincinnati Bengals,2024-09-18
jacob,Atlanta Falcons,2024-09-18
john,Buffalo Bills,2024-09-18
john,Los Angeles Rams,2024-09-18
john,Pittsburgh Steelers,2024-09-18
shane,Carolina Panthers,2024-09-18
shane,Seattle Seahawks,2024-09-18
shane,Atlanta Falcons,2024-09-18
cam,Dallas Cowboys,2024-09-18
cam,Los Angeles Rams,2024-09-18
cam,Green Bay Packers,2024-09-18
