user,team,game_date
cam,Dallas Cowboys,2024-09-05
cam,Philadelphia Eagles,2024-09-05
cam,Indianapolis Colts,2024-09-05
connor,Cleveland Browns,2024-09-05
connor,Carolina Panthers,2024-09-05
connor,Dallas Cowboys,2024-09-05
nathan,Detroit Lions,2024-09-05
nathan,New Orleans Saints,2024-09-05
nathan,Tampa Bay Buccaneers,2024-09-05
john,New York Giants,2024-09-05
john,Denver Broncos,2024-09-05
john,Dallas Cowboys,2024-09-05
shane,Carolina Panthers,2024-09-05
shane,Dallas Cowboys,2024-09-05
shane,New York Giants,2024-09-05
max,Baltimore Ravens,2024-09-05
max,Buffalo Bills,2024-09-05
max,Kansas City Chiefs,2024-09-05
jacob,Detroit Lions,2024-09-05
jacob,Las Vegas Raiders,2024-09-05
jacob,Los Angeles Chargers,2024-09-05
