user_id,season,week,game_id,team,spread,correct,result
cam,2026,2,4,Chicago Bears,-4.5,,
cam,2026,2,9,Philadelphia Eagles,-7.0,,
cam,2026,2,7,Green Bay Packers,-3.5,,
jacob,2026,2,4,Chicago Bears,-4.5,,
jacob,2026,2,6,Tampa Bay Buccaneers,-8.5,,
jacob,2026,2,13,Dallas Cowboys,-3.5,,
john,2026,2,12,Seattle Seahawks,-3.5,,
john,2026,2,5,Houston Texans,-2.5,,
john,2026,2,10,Jacksonville Jaguars,2.5,,
nathan,2026,2,9,Tennessee Titans,7.0,,
nathan,2026,2,10,Denver Broncos,-2.5,,
nathan,2026,2,5,Houston Texans,-3.0,,
shane,2026,2,3,New Orleans Saints,8.5,,
shane,2026,2,7,Green Bay Packers,-3.5,,
shane,2026,2,2,Carolina Panthers,-2.5,,
max,2026,2,10,Jacksonville Jaguars,2.5,,
max,2026,2,16,New York Giants,7.0,,
max,2026,2,5,Cincinnati Bengals,2.5,,
connor,2026,2,12,Seattle Seahawks,-3.5,,
connor,2026,2,10,Denver Broncos,-2.5,,
connor,2026,2,15,Kansas City Chiefs,-6.5,,
