kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2026-01-17 16:30:00-05:00,Buffalo Bills,Denver Broncos,1.5,-118,-1.5,-102,45.5,-112,-108,-105,-115,DraftKings,DraftKings,DraftKings
2026-01-17 20:00:00-05:00,San Francisco 49ers,Seattle Seahawks,7.0,100,-7.0,-120,45.5,-105,-115,275,-345,DraftKings,DraftKings,DraftKings
2026-01-18 15:00:00-05:00,Houston Texans,New England Patriots,3.0,100,-3.0,-120,40.5,-115,-105,145,-175,DraftKings,DraftKings,DraftKings
2026-01-18 18:30:00-05:00,Los Angeles Rams,Chicago Bears,-3.5,-118,3.5,-102,48.5,-110,-110,-198,164,DraftKings,DraftKings,DraftKings
