kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-11-27 13:00:00-05:00,Green Bay Packers,Detroit Lions,2.5,-105,-2.5,-115,48.5,-115,-105,124,-148,DraftKings,DraftKings,DraftKings
2025-11-27 16:30:00-05:00,Kansas City Chiefs,Dallas Cowboys,-3.5,-105,3.5,-115,52.5,-110,-110,-185,154,DraftKings,DraftKings,DraftKings
2025-11-27 20:20:00-05:00,Cincinnati Bengals,Baltimore Ravens,7.0,-110,-7.0,-110,51.5,-110,-110,285,-360,DraftKings,DraftKings,DraftKings
2025-11-28 15:00:00-05:00,Chicago Bears,Philadelphia Eagles,7.0,-115,-7.0,-105,44.5,-110,-110,260,-325,DraftKings,DraftKings,DraftKings
2025-11-30 13:00:00-05:00,Arizona Cardinals,Tampa Bay Buccaneers,3.0,-108,-3.0,-112,44.5,-110,-110,130,-155,DraftKings,DraftKings,DraftKings
2025-11-30 13:00:00-05:00,Atlanta Falcons,New York Jets,-2.5,-110,2.5,-110,39.5,-108,-112,-142,120,DraftKings,DraftKings,DraftKings
2025-11-30 13:00:00-05:00,Los Angeles Rams,Carolina Panthers,-10.5,-108,10.5,-112,44.5,-115,-105,-675,490,DraftKings,DraftKings,DraftKings
2025-11-30 13:00:00-05:00,San Francisco 49ers,Cleveland Browns,-4.5,-112,4.5,-108,37.5,-115,-105,-238,195,DraftKings,DraftKings,DraftKings
2025-11-30 13:00:00-05:00,Houston Texans,Indianapolis Colts,4.5,-110,-4.5,-110,44.5,-108,-112,185,-225,DraftKings,DraftKings,DraftKings
2025-11-30 13:00:00-05:00,Jacksonville Jaguars,Tennessee Titans,-6.5,-108,6.5,-112,42.5,-105,-115,-298,240,DraftKings,DraftKings,DraftKings
2025-11-30 13:00:00-05:00,New Orleans Saints,Miami Dolphins,6.0,-112,-6.0,-108,41.5,-112,-108,215,-265,DraftKings,DraftKings,DraftKings
2025-11-30 16:05:00-05:00,Minnesota Vikings,Seattle Seahawks,10.5,-110,-10.5,-110,41.5,-105,-115,440,-600,DraftKings,DraftKings,DraftKings
2025-11-30 16:25:00-05:00,Buffalo Bills,Pittsburgh Steelers,-3.5,-110,3.5,-110,47.5,-112,-108,-185,154,DraftKings,DraftKings,DraftKings
2025-11-30 16:25:00-05:00,Las Vegas Raiders,Los Angeles Chargers,10.0,-112,-10.0,-108,41.5,-108,-112,455,-625,DraftKings,DraftKings,DraftKings
2025-11-30 20:20:00-05:00,Denver Broncos,Washington Commanders,-6.5,-115,6.5,-105,43.5,-110,-110,-325,260,DraftKings,DraftKings,DraftKings
2025-12-01 20:15:00-05:00,New York Giants,New England Patriots,7.0,-105,-7.0,-115,46.5,-110,-110,320,-410,DraftKings,DraftKings,DraftKings
