kickoff_et,away,home,spread_away,spread_away_price,spread_home,spread_home_price,total,over_price,under_price,ml_away,ml_home,spreads_book,totals_book,h2h_book
2025-12-25 13:00:00-05:00,Dallas Cowboys,Washington Commanders,-6.5,-115,6.5,-105,50.5,-115,-105,-290,235,DraftKings,DraftKings,DraftKings
2025-12-25 16:30:00-05:00,Detroit Lions,Minnesota Vikings,-6.0,-112,6.0,-108,44.5,-105,-115,-245,200,DraftKings,DraftKings,DraftKings
2025-12-25 20:15:00-05:00,Denver Broncos,Kansas City Chiefs,-12.5,-120,12.5,100,36.5,-108,-112,-1050,675,DraftKings,DraftKings,DraftKings
2025-12-27 16:30:00-05:00,Houston Texans,Los Angeles Chargers,2.5,-112,-2.5,-108,39.5,-108,-112,114,-135,DraftKings,DraftKings,DraftKings
2025-12-27 20:00:00-05:00,Baltimore Ravens,Green Bay Packers,2.5,-105,-2.5,-115,40.5,-110,-110,120,-142,DraftKings,DraftKings,DraftKings
2025-12-28 13:00:00-05:00,Arizona Cardinals,Cincinnati Bengals,7.0,-105,-7.0,-115,53.5,-112,-108,300,-380,DraftKings,DraftKings,DraftKings
2025-12-28 13:00:00-05:00,Seattle Seahawks,Carolina Panthers,-7.5,-105,7.5,-115,42.5,-110,-110,-395,310,DraftKings,DraftKings,DraftKings
2025-12-28 13:00:00-05:00,Pittsburgh Steelers,Cleveland Browns,-3.5,-115,3.5,-105,33.5,-115,-105,-218,180,DraftKings,DraftKings,DraftKings
2025-12-28 13:00:00-05:00,Jacksonville Jaguars,Indianapolis Colts,-6.5,-108,6.5,-112,47.5,-112,-108,-285,230,DraftKings,DraftKings,DraftKings
2025-12-28 13:00:00-05:00,Tampa Bay Buccaneers,Miami Dolphins,-5.5,-110,5.5,-110,46.5,-110,-110,-258,210,DraftKings,DraftKings,DraftKings
2025-12-28 13:00:00-05:00,New England Patriots,New York Jets,-13.5,-108,13.5,-112,42.5,-118,-102,-1050,675,DraftKings,DraftKings,DraftKings
2025-12-28 13:00:00-05:00,New Orleans Saints,Tennessee Titans,-2.5,-115,2.5,-105,39.5,-110,-110,-148,124,DraftKings,DraftKings,DraftKings
2025-12-28 16:05:00-05:00,New York Giants,Las Vegas Raiders,1.5,-115,-1.5,-105,41.5,-115,-105,100,-120,DraftKings,DraftKings,DraftKings
2025-12-28 16:25:00-05:00,Philadelphia Eagles,Buffalo Bills,1.5,-105,-1.5,-115,43.5,-110,-110,110,-130,DraftKings,DraftKings,DraftKings
2025-12-28 20:20:00-05:00,Chicago Bears,San Francisco 49ers,3.0,-110,-3.0,-110,51.5,-110,-110,140,-166,DraftKings,DraftKings,DraftKings
2025-12-29 20:15:00-05:00,Los Angeles Rams,Atlanta Falcons,-7.5,-115,7.5,-105,49.5,-110,-110,-455,350,DraftKings,DraftKings,DraftKings
