kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-11-09 09:35:08-05:00,Atlanta Falcons,Indianapolis Colts,25,31,6,-6.0,6.0,0.0,P,P,48.5,56,Over
2025-11-09 13:02:16-05:00,New England Patriots,Tampa Bay Buccaneers,28,23,-5,-2.5,2.5,-7.5,L,W,48.5,51,Over
2025-11-09 13:02:35-05:00,Cleveland Browns,New York Jets,20,27,7,-1.5,1.5,5.5,W,L,36.5,47,Over
2025-11-09 13:02:43-05:00,New Orleans Saints,Carolina Panthers,17,7,-10,-5.5,5.5,-15.5,L,W,39.5,24,Under
2025-11-09 13:02:49-05:00,Baltimore Ravens,Minnesota Vikings,27,19,-8,3.5,-3.5,-4.5,L,W,48.5,46,Under
2025-11-09 13:03:02-05:00,Buffalo Bills,Miami Dolphins,13,30,17,9.5,-9.5,26.5,W,L,50.5,43,Under
2025-11-09 13:03:06-05:00,New York Giants,Chicago Bears,20,24,4,-3.5,3.5,0.5,W,L,48.5,44,Under
2025-11-09 13:03:20-05:00,Jacksonville Jaguars,Houston Texans,29,36,7,-1.5,1.5,5.5,W,L,37.5,65,Over
2025-11-09 16:25:00-05:00,Arizona Cardinals,Seattle Seahawks,22,44,22,-6.5,6.5,15.5,W,L,45.5,66,Over
2025-11-09 16:25:00-05:00,Detroit Lions,Washington Commanders,44,22,-22,8.5,-8.5,-13.5,L,W,49.5,66,Over
2025-11-09 16:25:00-05:00,Los Angeles Rams,San Francisco 49ers,42,26,-16,3.5,-3.5,-12.5,L,W,49.5,68,Over
2025-11-09 20:24:12-05:00,Pittsburgh Steelers,Los Angeles Chargers,10,25,15,-3.0,3.0,12.0,W,L,45.5,35,Under
2025-11-10 20:16:24-05:00,Philadelphia Eagles,Green Bay Packers,10,7,-3,-2.5,2.5,-5.5,L,W,45.5,17,Under
