kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-10-30 20:15:00-04:00,Miami Dolphins,Baltimore Ravens,6,28,22,-7.5,7.5,14.5,W,L,51.5,34,Under
2025-11-02 13:02:21-05:00,Atlanta Falcons,New England Patriots,23,24,1,-6.0,6.0,-5.0,L,W,44.5,47,Over
2025-11-02 13:02:29-05:00,Indianapolis Colts,Pittsburgh Steelers,20,27,7,3.0,-3.0,10.0,W,L,50.5,47,Under
2025-11-02 13:02:36-05:00,Chicago Bears,Cincinnati Bengals,47,42,-5,2.5,-2.5,-2.5,L,W,52.5,89,Over
2025-11-02 13:02:45-05:00,Los Angeles Chargers,Tennessee Titans,27,20,-7,9.5,-9.5,2.5,W,L,43.5,47,Over
2025-11-02 13:02:52-05:00,Carolina Panthers,Green Bay Packers,16,13,-3,-12.5,12.5,-15.5,L,W,44.5,29,Under
2025-11-02 13:02:52-05:00,San Francisco 49ers,New York Giants,34,24,-10,2.5,-2.5,-7.5,L,W,48.5,58,Over
2025-11-02 13:02:56-05:00,Denver Broncos,Houston Texans,18,15,-3,-1.5,1.5,-4.5,L,W,39.5,33,Under
2025-11-02 13:03:03-05:00,Minnesota Vikings,Detroit Lions,27,24,-3,-8.5,8.5,-11.5,L,W,48.5,51,Over
2025-11-02 16:05:18-05:00,New Orleans Saints,Los Angeles Rams,10,34,24,-14.0,14.0,10.0,W,L,43.5,44,Over
2025-11-02 16:05:30-05:00,Jacksonville Jaguars,Las Vegas Raiders,30,29,-1,3.0,-3.0,2.0,W,L,45.5,59,Over
2025-11-02 16:25:35-05:00,Kansas City Chiefs,Buffalo Bills,21,28,7,2.5,-2.5,9.5,W,L,52.5,49,Under
2025-11-02 20:22:51-05:00,Seattle Seahawks,Washington Commanders,38,14,-24,3.0,-3.0,-21.0,L,W,47.5,52,Over
2025-11-03 20:16:00-05:00,Arizona Cardinals,Dallas Cowboys,27,17,-10,-2.5,2.5,-12.5,L,W,54.5,44,Under
