kickoff_et,away,home,away_score,home_score,actual_margin,home_spread,away_spread,home_ats_margin,home_ats_result,away_ats_result,total,actual_total,over_under
2025-11-23 13:02:38-05:00,New York Jets,Baltimore Ravens,10,23,13,-13.5,13.5,-0.5,L,W,44.5,33,Under
2025-11-23 13:02:38-05:00,Pittsburgh Steelers,Chicago Bears,28,31,3,-3.0,3.0,0.0,P,P,44.5,59,Over
2025-11-23 13:02:40-05:00,New York Giants,Detroit Lions,27,34,7,-10.5,10.5,-3.5,L,W,49.5,61,Over
2025-11-23 13:02:47-05:00,Indianapolis Colts,Kansas City Chiefs,20,23,3,-3.5,3.5,-0.5,L,W,50.5,43,Under
2025-11-23 13:02:54-05:00,Minnesota Vikings,Green Bay Packers,6,23,17,-6.5,6.5,10.5,W,L,40.5,29,Under
2025-11-23 13:03:05-05:00,Seattle Seahawks,Tennessee Titans,30,24,-6,13.5,-13.5,7.5,W,L,40.5,54,Over
2025-11-23 13:03:38-05:00,New England Patriots,Cincinnati Bengals,26,20,-6,8.5,-8.5,2.5,W,L,50.5,46,Under
2025-11-23 16:05:22-05:00,Cleveland Browns,Las Vegas Raiders,24,10,-14,-3.0,3.0,-17.0,L,W,36.5,34,Under
2025-11-23 16:05:54-05:00,Jacksonville Jaguars,Arizona Cardinals,27,24,-3,2.5,-2.5,-0.5,L,W,47.5,51,Over
2025-11-23 16:26:24-05:00,Atlanta Falcons,New Orleans Saints,24,10,-14,-1.5,1.5,-15.5,L,W,39.5,34,Under
2025-11-23 16:26:24-05:00,Philadelphia Eagles,Dallas Cowboys,21,24,3,3.5,-3.5,6.5,W,L,48.5,45,Under
2025-11-23 20:23:08-05:00,Tampa Bay Buccaneers,Los Angeles Rams,7,34,27,-6.5,6.5,20.5,W,L,49.5,41,Under
2025-11-24 20:15:59-05:00,Carolina Panthers,San Francisco 49ers,9,20,11,-7.0,7.0,4.0,W,L,48.5,29,Under
